Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
AB,"Aberdeen",499692,218798,38299,16810,0,57.3013,-2.3082
AL,"St Albans",249911,99209,11149,7701,0,51.7755,-0.284171
B,"Birmingham",1904293,750842,60034,41304,1,52.4653,-1.88897
BA,"Bath",434539,183530,19383,14894,0,51.2295,-2.41718
BB,"Blackburn",488564,202015,18453,13077,0,53.7871,-2.33358
BD,"Bradford",578374,223952,22914,16909,12,53.8286,-1.82842
BH,"Bournemouth",552110,242907,21740,15121,0,50.7503,-1.89081
BL,"Bolton",379929,159979,13680,10273,0,53.5868,-2.40774
BN,"Brighton",802838,356367,34126,21951,1,50.8288,-0.119551
BR,"Bromley",299157,124954,10374,6882,0,51.3944,0.0425341
BS,"Bristol",940076,398197,44381,26519,0,51.4487,-2.62267
BT,"Northern Ireland",1772429,687553,51734,51734,0,54.6098,-6.3606
CA,"Carlisle",318114,140587,15878,12461,0,54.7318,-3.10923
CB,"Cambridge",421151,167640,18613,10260,0,52.2066,0.189207
CF,"Cardiff",1005305,419896,41667,23124,0,51.5346,-3.29334
CH,"Chester",659880,285880,23736,18600,0,53.2907,-3.02032
CM,"Chelmsford",653626,270044,26344,17495,0,51.7573,0.404316
CO,"Colchester",411411,176939,17425,12876,0,51.9031,0.924764
CR,"Croydon",405236,158695,14241,7979,0,51.356,-0.103084
CT,"Canterbury",482627,206290,19220,14654,0,51.256,1.23165
CV,"Coventry",821033,341504,27221,19683,1,52.368,-1.50183
CW,"Crewe",309487,130803,13403,9162,0,53.155,-2.45016
DA,"Dartford",430139,173329,12412,8888,0,51.4421,0.219924
DD,"Dundee",280568,128312,11098,8886,0,56.537,-2.86464
DE,"Derby",730125,306586,29299,16715,0,52.9335,-1.49077
DG,"Dumfries and Galloway",151139,67885,7646,6811,0,55.0226,-3.88161
DH,"Durham",309030,132814,11230,8897,0,54.8251,-1.61434
DL,"Darlington",360734,156814,16321,13129,0,54.533,-1.66048
DN,"Doncaster",756058,320303,27257,21466,0,53.5412,-0.719629
DT,"Dorchester",212796,93053,9540,7720,0,50.7548,-2.48343
DY,"Dudley",410847,171692,14211,10966,0,52.4536,-2.17695
E,"East London",989043,370613,27024,16000,0,51.5437,-0.015772
EC,"Central London",33956,17102,12404,3973,0,51.5187,-0.0967065
EH,"Edinburgh",868113,389353,31390,24021,0,55.9264,-3.22849
EN,"Enfield",344780,137907,12707,8529,61,51.6813,-0.0865921
EX,"Exeter",547401,235895,27726,21847,1,50.8269,-3.65609
FK,"Falkirk and Stirling",276371,119790,9440,7650,0,56.0773,-3.85934
FY,"Blackpool",276593,125986,9822,7227,0,53.825,-3.02286
G,"Glasgow",1183614,540601,45936,31542,0,55.8688,-4.26874
GL,"Gloucester",605458,257602,27769,20556,0,51.8367,-2.17725
GU,"Guildford",726120,288537,34589,21858,0,51.2319,-0.7169
HA,"Harrow",480678,169132,17072,10308,0,51.5853,-0.336176
HD,"Huddersfield",262843,111694,10576,7081,0,53.6303,-1.78277
HG,"Harrogate",138214,59455,6177,4379,0,54.0375,-1.54643
HP,"Hemel Hempstead",488592,195951,21144,13758,0,51.7239,-0.690869
HR,"Hereford",176308,75400,7740,6296,0,52.0659,-2.71887
HS,"Outer Hebrides",27663,12565,1074,959,0,57.9773,-6.69542
HU,"Hull",443219,191836,14889,10791,0,53.7681,-0.352942
HX,"Halifax",160137,68980,7260,5645,0,53.7202,-1.89292
IG,"Ilford",335693,119754,9699,5891,0,51.5841,0.0714292
IP,"Ipswich",595883,252895,26286,20704,0,52.1943,1.08458
IV,"Inverness",228056,98990,10471,7191,0,57.587,-4.11911
KA,"Kilmarnock",370877,166467,13917,11548,0,55.5637,-4.60617
KT,"Kingston upon Thames",529633,214274,21854,14246,0,51.36,-0.342891
KW,"Kirkwall",53132,24290,2081,1824,0,58.6536,-3.28316
KY,"Kirkcaldy",363956,160089,12888,9975,0,56.1623,-3.21275
L,"Liverpool",856675,370680,42564,20321,0,53.4155,-2.96361
LA,"Lancaster",328926,143213,14459,11770,0,54.1712,-2.90488
LD,"Llandrindod Wells",50225,22291,2612,2196,0,52.1289,-3.34097
LE,"Leicester",985352,391460,33505,21823,0,52.6443,-1.14822
LL,"Llandudno",537252,232655,24023,20080,0,53.1333,-3.71671
LN,"Lincoln",293141,126372,11674,9019,0,53.2564,-0.356311
LS,"Leeds",774677,330676,30993,21348,0,53.8227,-1.55367
LU,"Luton",336095,129149,10068,6203,0,51.8966,-0.509434
M,"Manchester",1167414,492884,57520,31538,0,53.4786,-2.27166
ME,"Rochester",606891,245786,21307,15977,0,51.3341,0.584795
MK,"Milton Keynes",508035,202926,21886,14904,0,52.0624,-0.666254
ML,"Motherwell",382997,168005,11448,9566,0,55.7768,-3.94394
N,"North London",847197,344938,28459,17464,0,51.5853,-0.113949
NE,"Newcastle upon Tyne",1162976,510229,44048,32807,0,55.0357,-1.64241
NG,"Nottingham",1163617,493228,36378,28428,0,53.0053,-1.07264
NN,"Northampton",653055,272356,24055,15869,0,52.2889,-0.842018
NP,"Newport",488569,206539,27575,13536,0,51.6732,-3.01655
NR,"Norwich",722618,315784,27533,22974,0,52.6459,1.34148
NW,"North West London",553732,222208,24708,13999,0,51.5547,-0.196938
OL,"Oldham",462590,188194,17407,13046,0,53.5817,-2.12596
OX,"Oxford",613492,242551,33728,19202,0,51.7961,-1.29044
PA,"Paisley",321350,148778,12690,9260,0,56.0723,-4.91473
PE,"Peterborough",890470,373108,37944,25842,0,52.6276,-0.044553
PH,"Perth",165118,73021,7236,6025,0,56.5627,-3.73431
PL,"Plymouth",543016,232152,21700,17182,0,50.4281,-4.32303
PO,"Portsmouth",822540,352453,31987,23804,0,50.8018,-1.03574
PR,"Preston",520366,219388,19326,12783,0,53.7219,-2.75219
RG,"Reading",778419,314408,44668,22794,0,51.4047,-1.02878
RH,"Redhill",531923,217143,23318,15766,0,51.1104,-0.209026
RM,"Romford",517305,205322,14753,9812,0,51.547,0.217184
S,"Sheffield",1358186,578058,48016,33072,0,53.3939,-1.41222
SA,"Swansea",730075,315791,28902,23117,0,51.7608,-4.2066
SE,"South East London",988126,412444,32997,20350,0,51.4669,-0.03591
SG,"Stevenage",402479,167182,16352,11667,0,51.9465,-0.159576
SK,"Stockport",603540,260549,24407,16264,0,53.3717,-2.09814
SL,"Slough",373407,144554,16336,10708,0,51.5152,-0.642288
SM,"Sutton",217171,87907,6468,4369,0,51.3628,-0.184701
SN,"Swindon",458798,191252,20695,14115,0,51.5054,-1.89486
SO,"Southampton",665472,276330,39251,18074,0,50.9291,-1.39259
SP,"Salisbury",232282,94658,10969,8388,0,51.1079,-1.78046
SR,"Sunderland",250843,109612,8497,6548,0,54.8764,-1.38929
SS,"Southend-on-Sea",518631,216682,16861,11756,0,51.5621,0.600107
ST,"Stoke-on-Trent",644416,275646,22154,17415,0,52.9783,-2.14614
SW,"South West London",877183,382790,35506,20386,0,51.4642,-0.167527
SY,"Shrewsbury",341952,144660,16836,14202,0,52.6635,-3.04939
TA,"Taunton",322408,139414,14321,11512,0,51.0558,-3.06841
TD,"Galashiels",112644,52111,5153,4451,0,55.6142,-2.52495
TF,"Telford",212536,85637,8923,6802,0,52.7136,-2.46213
TN,"Tonbridge",681747,286228,31700,22387,0,51.0853,0.441063
TQ,"Torquay",281112,125365,12866,9878,0,50.4587,-3.61618
TR,"Truro",294061,127803,14779,11831,0,50.2098,-5.24507
TS,"Cleveland",602320,256341,22447,17230,0,54.5851,-1.22352
TW,"Twickenham",491918,193508,19585,11082,0,51.4485,-0.39039
UB,"Southall",371413,126879,11233,7064,0,51.5277,-0.41725
W,"West London",531690,236493,39400,19240,0,51.5115,-0.191921
WA,"Warrington",616482,261804,25041,18008,0,53.3905,-2.59119
WC,"Central London",35745,15757,7359,2772,0,51.5175,-0.122664
WD,"Watford",256476,103336,15639,7313,0,51.6587,-0.393849
WF,"Wakefield",512784,214107,17726,14115,0,53.6854,-1.49786
WN,"Wigan",309156,131514,8935,7043,0,53.5343,-2.63749
WR,"Worcester",287838,122730,12088,8439,0,52.1632,-2.16902
WS,"Walsall",449728,181669,14496,9900,0,52.6488,-1.95786
WV,"Wolverhampton",396187,162933,14033,10367,32,52.5807,-2.16207
YO,"York",562761,242140,33489,18184,0,54.045,-0.887264
ZE,"Lerwick",23086,9915,738,645,0,60.2213,-1.19802
